== 城市总数: 195 ==
城市      省份    岗位数    类型数   AI数    真实数    AI占比%
深圳      广东    3945   1700  0      3945   0
广州      广东    3877   1615  0      3877   0
上海      上海    3689   1549  0      3689   0
杭州      浙江    3040   1288  0      3040   0
北京      北京    2819   1268  0      2819   0
成都      四川    2312   978   0      2312   0
武汉      湖北    1520   646   0      1520   0
南京      江苏    1254   483   0      1254   0
无锡      江苏    846    334   0      846    0
西安      陕西    358    147   0      358    0
重庆      重庆    264    103   0      264    0
合肥      安徽    248    101   0      248    0
济南      山东    192    89    0      192    0
天津      天津    188    83    0      188    0
长沙      湖南    180    65    0      180    0
福州      福建    172    66    0      172    0
青岛      山东    149    101   141    8      95
包头      内蒙古   149    97    149    0      100
惠州      广东    148    72    0      148    0
潍坊      山东    148    102   148    0      100
徐州      江苏    147    96    147    0      100
鄂尔多斯    内蒙古   145    93    145    0      100
澳门      澳门    139    101   139    0      100
台北      台湾    136    90    136    0      100
金华      浙江    135    88    131    4      97
哈尔滨     黑龙江   133    97    133    0      100
郑州      河南    132    59    0      132    0
大庆      黑龙江   131    92    131    0      100
常州      江苏    130    86    100    30     77
咸阳      陕西    129    93    129    0      100
银川      宁夏    129    85    129    0      100
济宁      山东    128    94    126    2      98
长春      吉林    126    96    124    2      98
苏州      江苏    126    66    22     104    17
岳阳      湖南    126    88    124    2      98
拉萨      西藏    125    97    125    0      100
芜湖      安徽    122    86    112    10     92
中山      广东    121    76    85     36     70
桂林      广西    116    90    114    2      98
厦门      福建    114    88    112    2      98
大连      辽宁    114    87    108    6      95
佛山      广东    110    64    60     50     55
烟台      山东    108    47    0      108    0
呼和浩特    内蒙古   106    92    104    2      98
洛阳      河南    105    86    105    0      100
三亚      海南    103    79    101    2      98
曲靖      云南    103    88    103    0      100
保定      河北    103    81    103    0      100
汕头      广东    101    84    101    0      100
昆明      云南    100    79    96     4      96
沈阳      辽宁    98     63    44     54     45
南宁      广西    95     78    91     4      96
柳州      广西    92     73    90     2      98
南通      江苏    92     79    82     10     89
扬州      江苏    89     70    89     0      100
绵阳      四川    88     76    86     2      98
襄阳      湖北    88     72    86     2      98
石家庄     河北    88     71    84     4      95
西宁      青海    86     74    86     0      100
绍兴      浙江    86     73    74     12     86
乌鲁木齐    新疆    86     70    84     2      98
海口      海南    86     70    84     2      98
珠海      广东    84     52    28     56     33
临沂      山东    83     74    83     0      100
宁波      浙江    83     53    43     40     52
唐山      河北    83     75    83     0      100
宜昌      湖北    80     69    80     0      100
沧州      河北    79     68    79     0      100
克拉玛依    新疆    78     61    78     0      100
东莞      广东    78     40    2      76     3
株洲      湖南    77     67    77     0      100
黄冈      湖北    77     72    77     0      100
石嘴山     宁夏    76     64    76     0      100
嘉兴      浙江    75     63    65     10     87
大理      云南    75     63    75     0      100
太仓      江苏    75     63    65     10     87
台州      浙江    74     69    74     0      100
湖州      浙江    74     64    72     2      97
安庆      安徽    74     63    74     0      100
澄迈      海南    74     63    72     2      97
遵义      贵州    74     68    74     0      100
茂名      广东    73     64    73     0      100
太原      山西    72     67    70     2      97
兰州      甘肃    72     61    70     2      97
黄石      湖北    72     63    72     0      100
宜春      江西    72     67    72     0      100
南充      四川    72     67    72     0      100
益阳      湖南    71     63    71     0      100
梧州      广西    69     62    69     0      100
蚌埠      安徽    69     58    69     0      100
泉州      福建    68     62    68     0      100
淮安      江苏    66     58    64     2      97
连云港     江苏    66     62    66     0      100
泰安      山东    64     60    64     0      100
南昌      江西    64     54    56     8      88
香港      香港    63     59    63     0      100
丹东      辽宁    63     59    63     0      100
舟山      浙江    63     58    61     2      97
贵阳      贵州    63     62    63     0      100
天水      甘肃    62     61    62     0      100
潮州      广东    62     59    62     0      100
荆州      湖北    61     53    59     2      97
莆田      福建    61     52    61     0      100
廊坊      河北    60     57    58     2      97
达州      四川    60     50    60     0      100
湘潭      湖南    60     53    60     0      100
温州      浙江    60     58    58     2      97
吉安      江西    59     54    55     4      93
鄂州      湖北    59     56    59     0      100
昆山      江苏    59     38    27     32     46
抚顺      辽宁    59     58    59     0      100
镇江      江苏    58     50    58     0      100
漳州      福建    58     56    58     0      100
汉中      陕西    57     54    57     0      100
淮北      安徽    57     54    55     2      96
宜宾      四川    54     45    52     2      96
汕尾      广东    53     45    49     4      92
营口      辽宁    53     46    51     2      96
孝感      湖北    52     48    52     0      100
