== 共 195 个城市 ==
城市      总记录     真实      ai_seed 类型数   状态
安康      60      0       60      44    OK
安庆      62      0       62      28    OK
鞍山      60      0       60      29    OK
澳门      95      0       95      65    OK
蚌埠      60      0       60      32    OK
包头      95      0       95      63    OK
宝鸡      60      0       60      29    OK
保定      95      0       95      60    OK
北海      60      2       58      28    OK
北京      2819    2819    0       1268  OK
本溪      60      0       60      40    OK
沧州      60      0       60      28    OK
常德      60      0       60      30    OK
常熟      2       2       0       1     极低
常州      95      30      65      62    OK
朝阳      2       2       0       1     极低
潮州      60      0       60      39    OK
郴州      60      2       58      31    OK
成都      2312    2312    0       978   OK
澄迈      2       2       0       1     极低
赤峰      60      0       60      30    OK
崇左      2       2       0       1     极低
滁州      8       8       0       4     极低
达州      60      0       60      44    OK
大理      60      0       60      30    OK
大连      95      6       89      63    OK
大庆      95      0       95      67    OK
大同      61      2       59      28    OK
丹东      60      0       60      45    OK
德阳      60      2       58      29    OK
东莞      95      76      19      48    OK
鄂尔多斯    95      0       95      62    OK
鄂州      60      0       60      38    OK
佛山      95      50      45      57    OK
福州      172     172     0       66    OK
抚顺      60      0       60      45    OK
抚州      2       2       0       1     极低
阜阳      60      0       60      33    OK
赣州      60      0       60      31    OK
高雄      63      0       63      28    OK
广安      60      0       60      43    OK
广州      3877    3877    0       1615  OK
贵阳      95      0       95      63    OK
桂林      95      2       93      68    OK
哈尔滨     95      0       95      66    OK
海口      95      2       93      64    OK
海宁      4       4       0       2     极低
邯郸      60      0       60      30    OK
汉中      60      0       60      42    OK
杭州      3040    3040    0       1288  OK
合肥      248     248     0       101   OK
河源      60      0       60      40    OK
衡阳      60      0       60      29    OK
呼和浩特    95      2       93      63    OK
湖北省     2       2       0       1     极低
湖州      60      2       58      30    OK
淮安      60      2       58      29    OK
淮北      2       2       0       1     极低
淮南      60      0       60      43    OK
黄冈      60      0       60      39    OK
黄石      60      0       60      41    OK
惠州      148     148     0       72    OK
吉安      60      4       56      44    OK
吉林      60      0       60      30    OK
济南      192     192     0       89    OK
济宁      95      2       93      61    OK
嘉兴      95      10      85      64    OK
嘉峪关     60      0       60      39    OK
江门      60      6       54      42    OK
焦作      60      0       60      45    OK
揭阳      60      0       60      41    OK
金华      95      4       91      61    OK
锦州      60      0       60      43    OK
荆门      60      0       60      40    OK
荆州      60      2       58      29    OK
九江      60      0       60      30    OK
开封      60      0       60      38    OK
开平      2       2       0       1     极低
克拉玛依    60      0       60      38    OK
昆明      95      4       91      59    OK
昆山      32      32      0       16    低
拉萨      95      0       95      64    OK
兰州      95      2       93      66    OK
廊坊      95      2       93      64    OK
乐山      60      0       60      39    OK
丽江      60      0       60      29    OK
丽水      60      2       58      42    OK
连云港     60      0       60      30    OK
聊城      2       2       0       1     极低
临汾      60      0       60      28    OK
临沂      95      0       95      67    OK
柳州      95      2       93      63    OK
泸州      60      0       60      41    OK
洛阳      95      0       95      61    OK
马鞍山     60      0       60      31    OK
茂名      60      0       60      42    OK
眉山      2       2       0       1     极低
梅州      60      2       58      39    OK
绵阳      95      2       93      61    OK
南昌      95      8       87      65    OK
南充      60      0       60      29    OK
南京      1254    1254    0       483   OK
南宁      95      4       91      62    OK
南通      95      10      85      63    OK
南阳      60      0       60      32    OK
内江      60      0       60      41    OK
宁波      95      40      55      55    OK
宁德      60      0       60      41    OK
莆田      60      0       60      28    OK
齐齐哈尔    60      0       60      30    OK
青岛      95      8       87      67    OK
清远      60      6       54      42    OK
曲靖      95      0       95      66    OK
衢州      60      0       60      40    OK
泉州      95      0       95      64    OK
三亚      95      2       93      63    OK
厦门      95      2       93      63    OK
汕头      60      0       60      41    OK
汕尾      60      4       56      37    OK
上海      3689    3689    0       1549  OK
上饶      60      0       60      31    OK
韶关      60      0       60      38    OK
绍兴      95      12      83      62    OK
深圳      3945    3945    0       1700  OK
沈阳      95      54      41      53    OK
十堰      60      0       60      40    OK
石家庄     95      4       91      63    OK
石嘴山     60      0       60      42    OK
苏州      104     104     0       51    OK
宿迁      60      2       58      38    OK
宿州      60      0       60      29    OK
遂宁      60      2       58      40    OK
台北      95      0       95      62    OK
台州      95      0       95      66    OK
太仓      10      10      0       5     极低
太原      95      2       93      66    OK
泰安      61      0       61      28    OK
泰州      63      6       57      28    OK
唐山      95      0       95      60    OK
天津      188     188     0       83    OK
天水      60      0       60      29    OK
威海      60      2       58      32    OK
潍坊      95      0       95      65    OK
渭南      60      0       60      42    OK
温州      95      2       93      63    OK
乌鲁木齐    95      2       93      63    OK
无锡      846     846     0       334   OK
芜湖      95      10      85      65    OK
梧州      60      0       60      41    OK
武汉      1520    1520    0       646   OK
西安      358     358     0       147   OK
西宁      95      0       95      70    OK
咸宁      60      0       60      41    OK
咸阳      95      0       95      67    OK
香港      95      0       95      63    OK
湘潭      60      0       60      41    OK
