[迁移] the_total_table 已补齐 industry_tags/skills/job_description/qualification/work_experience/city_seed/sort_weight 列

城市        省份      真实标题    已有AI    补齐前     补齐后     新增    达标
----------------------------------------------------------------------
三亚        海南      1       73      74      74      0     OK
上海        上海      1549    0       1549    1549    0     OK
上饶        江西      0       47      47      60      10    OK
东莞        广东      29      18      47      47      0     OK
中山        广东      10      50      60      60      0     OK
临汾        山西      0       49      49      60      10    OK
临沂        山东      0       78      78      78      0     OK
丹东        辽宁      0       47      47      60      10    OK
丽水        浙江      1       47      48      60      10    OK
丽江        云南      0       45      45      60      10    OK
乌鲁木齐      新疆      0       75      75      75      0     OK
乐山        四川      0       48      48      60      10    OK
九江        江西      0       47      47      60      10    OK
云浮        广东      0       45      45      60      10    OK
佛山        广东      18      37      55      55      0     OK
保定        河北      0       78      78      78      0     OK
信阳        河南      0       46      46      60      10    OK
克拉玛依      新疆      0       44      44      60      10    OK
兰州        甘肃      1       71      72      72      0     OK
内江        四川      0       44      44      60      10    OK
包头        内蒙古     0       77      77      77      0     OK
北京        北京      1268    0       1268    1268    0     OK
北海        广西      1       45      46      60      10    OK
十堰        湖北      0       44      44      60      10    OK
南京        江苏      483     0       483     483     0     OK
南充        四川      0       44      44      60      10    OK
南宁        广西      1       72      73      73      0     OK
南昌        江西      4       75      79      79      0     OK
南通        江苏      2       66      68      68      0     OK
南阳        河南      0       46      46      60      10    OK
厦门        福建      0       73      73      73      0     OK
台北        台湾      0       74      74      74      0     OK
台州        浙江      0       71      71      71      0     OK
合肥        安徽      101     0       101     101     0     OK
吉安        江西      2       44      46      60      10    OK
吉林        吉林      0       46      46      60      10    OK
周口        河南      0       47      47      60      10    OK
呼和浩特      内蒙古     1       72      73      73      0     OK
咸宁        湖北      0       46      46      60      10    OK
咸阳        陕西      0       77      77      77      0     OK
哈尔滨       黑龙江     0       79      79      79      0     OK
唐山        河北      0       77      77      77      0     OK
嘉兴        浙江      2       71      73      73      0     OK
嘉峪关       甘肃      0       46      46      60      10    OK
大同        山西      1       44      45      60      10    OK
大庆        黑龙江     0       71      71      71      0     OK
大理        云南      0       48      48      60      10    OK
大连        辽宁      1       72      73      73      0     OK
天水        甘肃      0       47      47      60      10    OK
天津        天津      83      0       83      83      0     OK
太原        山西      1       73      74      74      0     OK
威海        山东      1       45      46      60      10    OK
孝感        湖北      0       49      49      60      10    OK
宁德        福建      0       45      45      60      10    OK
宁波        浙江      11      47      58      58      0     OK
安庆        安徽      0       48      48      60      10    OK
安康        陕西      0       48      48      60      10    OK
宜宾        四川      1       45      46      60      10    OK
宜昌        湖北      0       75      75      75      0     OK
宜春        江西      0       47      47      60      10    OK
宝鸡        陕西      0       48      48      60      10    OK
宿州        安徽      0       46      46      60      10    OK
宿迁        江苏      1       47      48      60      10    OK
岳阳        湖南      0       79      79      79      0     OK
常州        江苏      11      57      68      68      0     OK
常德        湖南      0       47      47      60      10    OK
广安        四川      0       47      47      60      10    OK
广州        广东      1615    0       1615    1615    0     OK
廊坊        河北      1       75      76      76      0     OK
开封        河南      0       49      49      60      10    OK
徐州        江苏      0       76      76      76      0     OK
德阳        四川      0       44      44      60      10    OK
惠州        广东      72      0       72      72      0     OK
成都        四川      978     0       978     978     0     OK
扬州        江苏      0       77      77      77      0     OK
抚顺        辽宁      0       47      47      60      10    OK
拉萨        西藏      0       75      75      75      0     OK
揭阳        广东      0       46      46      60      10    OK
新乡        河南      1       46      47      60      10    OK
无锡        江苏      334     0       334     334     0     OK
昆明        云南      1       76      77      77      0     OK
曲靖        云南      0       73      73      73      0     OK
本溪        辽宁      0       46      46      60      10    OK
杭州        浙江      1288    0       1288    1288    0     OK
柳州        广西      1       79      80      80      0     OK
株洲        湖南      0       47      47      60      10    OK
桂林        广西      1       76      77      77      0     OK
梅州        广东      1       42      43      60      10    OK
梧州        广西      0       47      47      60      10    OK
榆林        陕西      0       49      49      60      10    OK
武汉        湖北      646     0       646     646     0     OK
汉中        陕西      0       43      43      60      10    OK
汕头        广东      0       78      78      78      0     OK
汕尾        广东      1       42      43      60      10    OK
江门        广东      2       42      44      60      10    OK
沈阳        辽宁      18      39      57      57      0     OK
沧州        河北      0       47      47      60      10    OK
河源        广东      0       44      44      60      10    OK
泉州        福建      0       75      75      75      0     OK
泰安        山东      0       50      50      60      10    OK
泰州        江苏      3       42      45      60      10    OK
泸州        四川      0       48      48      60      10    OK
洛阳        河南      0       73      73      73      0     OK
济南        山东      89      0       89      89      0     OK
济宁        山东      0       77      77      77      0     OK
海口        海南      0       80      80      80      0     OK
淄博        山东      0       45      45      60      10    OK
淮南        安徽      0       48      48      60      10    OK
淮安        江苏      0       44      44      60      10    OK
深圳        广东      1700    0       1700    1700    0     OK
清远        广东      3       42      45      60      10    OK
温州        浙江      1       74      75      75      0     OK
渭南        陕西      0       46      46      60      10    OK
湖州        浙江      1       45      46      60      10    OK
湘潭        湖南      0       47      47      60      10    OK
湛江        广东      0       46      46      60      10    OK
漳州        福建      0       47      47      60      10    OK
潍坊        山东      0       77      77      77      0     OK
潮州        广东      0       46      46      60      10    OK
澳门        澳门      0       75      75      75      0     OK
烟台        山东      47      0       47      47      0     OK
焦作        河南      0       45      45      60      10    OK
玉溪        云南      0       49      49      60      10    OK
珠海        广东      17      35      52      52      0     OK
益阳        湖南      0       47      47      60      10    OK
盐城        江苏      0       49      49      60      10    OK
石嘴山       宁夏      0       48      48      60      10    OK
石家庄       河北      0       71      71      71      0     OK
福州        福建      66      0       66      66      0     OK
绍兴        浙江      1       72      73      73      0     OK
绵阳        四川      0       74      74      74      0     OK
肇庆        广东      1       45      46      60      10    OK
自贡        四川      0       48      48      60      10    OK
舟山        浙江      1       45      46      60      10    OK
芜湖        安徽      2       67      69      69      0     OK
苏州        江苏      51      0       51      51      0     OK
茂名        广东      0       46      46      60      10    OK
荆州        湖北      1       46      47      60      10    OK
荆门        湖北      0       47      47      60      10    OK
莆田        福建      0       43      43      60      10    OK
蚌埠        安徽      0       48      48      60      10    OK
衡阳        湖南      0       46      46      60      10    OK
衢州        浙江      0       46      46      60      10    OK
襄阳        湖北      0       77      77      77      0     OK
西宁        青海      0       75      75      75      0     OK
西安        陕西      147     0       147     147     0     OK
贵阳        贵州      0       75      75      75      0     OK
赣州        江西      0       47      47      60      10    OK
赤峰        内蒙古     0       47      47      60      10    OK
达州        四川      0       46      46      60      10    OK
运城        山西      0       46      46      60      10    OK
连云港       江苏      0       48      48      60      10    OK
遂宁        四川      0       45      45      60      10    OK
遵义        贵州      0       74      74      74      0     OK
邯郸        河北      0       46      46      60      10    OK
郑州        河南      59      0       59      59      0     OK
郴州        湖南      0       43      43      60      10    OK
鄂尔多斯      内蒙古     0       76      76      76      0     OK
鄂州        湖北      0       49      49      60      10    OK
重庆        重庆      103     0       103     103     0     OK
金华        浙江      0       72      72      72      0     OK
银川        宁夏      0       73      73      73      0     OK
锦州        辽宁      0       47      47      60      10    OK
镇江        江苏      0       47      47      60      10    OK
长春        吉林      1       75      76      76      0     OK
长沙        湖南      65      0       65      65      0     OK
阜阳        安徽      0       46      46      60      10    OK
阳江        广东      1       44      45      60      10    OK
青岛        山东      2       72      74      74      0     OK
鞍山        辽宁      0       49      49      60      10    OK
韶关        广东      0       48      48      60      10    OK
香港        香港      0       72      72      72      0     OK
马鞍山       安徽      0       45      45      60      10    OK
驻马店       河南      0       46      46      60      10    OK
高雄        台湾      0       46      46      60      10    OK
黄冈        湖北      0       48      48      60      10    OK
黄石        湖北      0       43      43      60      10    OK
齐齐哈尔      黑龙江     0       47      47      60      10    OK
----------------------------------------------------------------------
共 178 个城市，新增写入 990 条，未达标 0 个
