id,source_name,company,city,salary_min,salary_max,experience,education,publish_time,source_url,抽取技能,jd长度
719,boss,北京51Talk,深圳,20000,30000,3-5年,本科,,https://www.zhipin.com/job_detail/f86bc7a3a5c8963e0nB-09W_EVtT.html,,0
730,boss,阿里巴巴集团,杭州,15000,30000,经验不限,本科,,https://www.zhipin.com/job_detail/550449374915fcb20nF739i4EFNZ.html,java,0
2036,51job,中科软科技股份有限公司,北京,10000,18000,5-10年,本科,,https://jobs.51job.com/beijing/172732475.html?s=sou_sou_soulb&t=0_0&req=6aabe586-859b-43ec-975e-fcd48ad92053,git/spring cloud/maven/java/redis/接口开发/spring boot/中台/mysql,452
2037,51job,北京网际威信科技有限公司广州分公司,北京·海淀区,10000,15000,2-3年,本科,,https://jobs.51job.com/beijing-hdq/172203287.html?s=sou_sou_soulb&t=0_0&req=f36705b9-5d83-426c-8bce-b261814ddfde,nginx/git/jquery/hibernate/docker/mybatis/java/jmeter/linux/css/tomcat/spring boot/jenkins/vue/postman,659
2039,51job,北京源速软件有限公司,北京·丰台区,10000,20000,2年及以上,本科,,https://jobs.51job.com/beijing-ftq/172189112.html?s=sou_sou_soulb&t=0_0&req=fa0cb82a-d2b5-47e8-9f58-b628d4faaa31,html/javascript/mysql/java,418
2041,51job,北京久其软件股份有限公司,北京·大兴区,14000,19000,2-5年,本科,,https://jobs.51job.com/beijing-dxq/172826103.html?s=sou_sou_soulb&t=0_0&req=3ed7967b-d1e6-4a69-a4d6-ba9779df393d,spring/java,228
2047,51job,南京恒生启金科技有限公司,北京,13000,17000,3年及以上,本科,,https://jobs.51job.com/beijing/170786250.html?s=sou_sou_soulb&t=0_0&req=b08e267f-e961-4ce0-b44f-627bebc93ee9,oracle/mysql/java,339
2051,51job,阳光数智科技有限责任公司,北京·通州区,10000,20000,3-6年,本科,,https://jobs.51job.com/beijing-tzq/172732629.html?s=sou_sou_soulb&t=0_0&req=9fa7650a-6d42-4ca3-804d-04d13c0dde37,oracle/spring cloud/langchain/java/hive/etl/spark/分布式/数据仓库/spring boot/scala/hadoop/智能体/python/大模型/mongodb/redis/kafka/llm/mysql/消息队列/flink/transformer/clickhouse/机器学习/agent/微调,897
2053,51job,北京国信博飞科技发展有限公司,北京·海淀区,10000,18000,2年及以上,本科,,https://jobs.51job.com/beijing-hdq/172974894.html?s=sou_sou_soulb&t=0_0&req=6aabe586-859b-43ec-975e-fcd48ad92053,分布式/spring cloud/java/redis/spring boot/高并发/mysql,367
2059,51job,深圳市多泽教育科技有限公司,北京·朝阳区,5000,6000,3年及以上,本科,,https://jobs.51job.com/beijing-cyq/172941053.html?s=sou_sou_soulb&t=0_0&req=7c57fd34-5f77-4969-bff7-7f5bb5e4b9f7,服务治理/spring cloud/mybatis/java/redis/kafka/spring boot/高并发/mysql/微服务,469
2065,51job,武汉岩迪创为信息技术有限公司,北京,10000,13000,3年及以上,大专,,https://jobs.51job.com/beijing/172913043.html?s=sou_sou_soulb&t=0_0&req=5799f630-988e-4bff-8372-65d75670d80d,javascript/oracle/mybatis/java/redis/linux/css/spring boot/mysql/elasticsearch,308
2066,51job,安徽讯飞至悦科技有限公司,北京·海淀区,15000,20000,3年及以上,本科,,https://jobs.51job.com/beijing-hdq/172559979.html?s=sou_sou_soulb&t=0_0&req=7c57fd34-5f77-4969-bff7-7f5bb5e4b9f7,nginx/微服务/分布式/zookeeper/spring cloud/docker/mongodb/java/redis/kafka/spring boot/dubbo/高并发/mysql/agent,495
2067,51job,深圳市法本信息技术股份有限公司,北京,16000,20000,3年及以上,本科,,https://jobs.51job.com/beijing/171182012.html?s=sou_sou_soulb&t=0_0&req=a8dc7a08-0e43-458f-b679-af571d803703,git/分布式/oracle/spring cloud/mybatis/java/redis/kafka/dubbo/高并发/智能体/elasticsearch,341
2068,51job,北京英诺威尔科技股份有限公司,北京·丰台区,14000,20000,3年及以上,本科,,https://jobs.51job.com/beijing-ftq/171254425.html?s=sou_sou_soulb&t=0_0&req=056c9e46-56f7-4f3f-b533-f49090790971,spring cloud/mysql/mybatis/缓存/java/redis/kafka/linux/spring boot/dubbo/rocketmq/微服务,620
2073,51job,精电（河源）显示技术有限公司,北京·通州区,15000,20000,5年及以上,本科,,https://jobs.51job.com/beijing-tzq/171853483.html?s=sou_sou_soulb&t=0_0&req=b08e267f-e961-4ce0-b44f-627bebc93ee9,高并发/嵌入式/java/分布式,667
2083,51job,杭州平航科技有限公司,北京·西城区,10000,13000,1-5年,大专,,https://jobs.51job.com/beijing-xcq/172417748.html?s=sou_sou_soulb&t=0_0&req=48a73fd0-0433-4a5d-9259-4f4cd9441d87,python/分布式/java/linux/doris/spring boot/clickhouse/mysql/fastapi,365
2092,51job,上海学获帮教育科技有限公司,北京,14000,24000,1-3年,本科,,https://jobs.51job.com/beijing/171169317.html?s=sou_sou_soulb&t=0_0&req=dd830847-b4be-4310-aea0-ea2d7f94f709,单元测试/mybatis/java/spring boot/mysql,268
2094,51job,上扬软件（上海）有限公司,北京·大兴区,15000,30000,3年及以上,本科,,https://jobs.51job.com/beijing-dxq/167794984.html?s=sou_sou_soulb&t=0_0&req=e8a4b3e9-a863-4b55-bba6-10fce67374f6,git/分布式/oracle/spring/缓存/java/高并发,457
2110,51job,北京英诺威尔科技股份有限公司,北京·丰台区,14000,21000,3年及以上,本科,,https://jobs.51job.com/beijing-ftq/172361237.html?s=sou_sou_soulb&t=0_0&req=9fa7650a-6d42-4ca3-804d-04d13c0dde37,消息队列/spring cloud/缓存/java/redis/kafka/linux/doris/spring boot/mysql,429
2112,51job,郑州辰而将行软件科技有限公司,北京,12000,15000,3-5年,大专,,https://jobs.51job.com/beijing/131129227.html?s=sou_sou_soulb&t=0_0&req=6aabe586-859b-43ec-975e-fcd48ad92053,oracle/java/redis/spring boot/mysql/微服务,255
2303,51job,紫光云数科技有限公司,杭州·滨江区,12000,15000,3-6年,本科,,https://jobs.51job.com/hangzhou-bjq/172019496.html?s=sou_sou_soulb&t=0_0&req=e166d81a-4058-4c9b-b872-3af637dcc0fb,zookeeper/oracle/spring cloud/mysql/功能测试/mybatis/java/接口开发/spring boot/dubbo/restful/微服务,419
2304,51job,京北方信息技术股份有限公司杭州分公司,杭州·萧山区,10000,16000,2年及以上,本科,,https://jobs.51job.com/hangzhou-xsq/172538418.html?s=sou_sou_soulb&t=0_0&req=e166d81a-4058-4c9b-b872-3af637dcc0fb,分布式/spring cloud/java/redis/linux/spring boot/高并发/mysql,387
2305,51job,兴业数字金融服务（上海）股份有限公司,杭州·拱墅区,20833,37500,1年及以上,本科,,https://jobs.51job.com/hangzhou-gsq/162271829.html?s=sou_sou_soulb&t=0_0&req=95de5e44-4ecc-4d3b-a3b9-99272d18a8e7,nginx/分布式/spring/mybatis/docker/java/redis/kafka/linux/kubernetes/高并发/mysql,908
2307,51job,浙江黄龙体育发展有限公司,杭州·西湖区,8000,12000,3年及以上,本科,,https://jobs.51job.com/hangzhou-xhq/172022363.html?s=sou_sou_soulb&t=0_0&req=e166d81a-4058-4c9b-b872-3af637dcc0fb,消息队列/sql优化/rabbitmq/spring cloud/mybatis/java/redis/kafka/spring boot/微服务,474
2314,51job,浙江小桥流水环境科技有限公司,杭州,10000,15000,3年及以上,本科,,https://jobs.51job.com/hangzhou/170868433.html?s=sou_sou_soulb&t=0_0&req=e166d81a-4058-4c9b-b872-3af637dcc0fb,oracle/hibernate/spring/mybatis/java/css/mysql,610
2319,51job,杭州固恒能源科技有限公司,杭州·余杭区,12000,18000,3年及以上,本科,,https://jobs.51job.com/hangzhou-yhq/172510081.html?s=sou_sou_soulb&t=0_0&req=e166d81a-4058-4c9b-b872-3af637dcc0fb,消息队列/sql优化/分布式/缓存/java/redis/spring boot/高并发/mysql/微服务,369
2321,51job,恩士迅信息科技（中国）有限责任公司,杭州·余杭区,13000,20000,5年及以上,本科,,https://jobs.51job.com/hangzhou-yhq/169112955.html?s=sou_sou_soulb&t=0_0&req=9bb6b15b-69dd-4347-a90e-db59c08ec316,单元测试/分布式/mybatis/缓存/java/linux/prometheus/grafana/spring boot/高并发/mysql/微服务,681
2322,51job,德威国际货运代理（上海）有限公司,杭州·西湖区,15000,20000,3年及以上,本科,,https://jobs.51job.com/hangzhou-xhq/172661258.html?s=sou_sou_soulb&t=0_0&req=8521ecd8-74c4-46be-9f7b-e91cba86f32e,消息队列/c#/mongodb/java/redis/react/linux/spring boot/高并发/mysql,757
2502,51job,中知数通（北京）信息技术有限公司,北京,12000,17000,3年及以上,本科,,https://jobs.51job.com/beijing/173021718.html?s=sou_sou_soulb&t=0_0&req=fa0cb82a-d2b5-47e8-9f58-b628d4faaa31,nginx/sass/单元测试/分布式/spring cloud/mybatis/缓存/java/linux/负载均衡/spring boot/数据清洗/高并发/mysql/微服务,593
2503,51job,京北方信息技术股份有限公司广州分公司,北京·通州区,11000,17000,2年及以上,本科,,https://jobs.51job.com/beijing-tzq/173020137.html?s=sou_sou_soulb&t=0_0&req=fa0cb82a-d2b5-47e8-9f58-b628d4faaa31,java,196
2504,51job,上海仪电鑫森科技发展有限公司北京分公司,北京·西城区,15000,25000,5年及以上,本科,,https://jobs.51job.com/beijing-xcq/173018398.html?s=sou_sou_soulb&t=0_0&req=b5760b7e-3b2d-4ecf-a57d-2a59a9f25ec6,sql优化/分布式/spring cloud/mybatis/缓存/java/redis/linux/spring boot/高并发/mysql/微服务/etl,629
2848,51job,高伟达软件股份有限公司,成都,10000,15000,3年及以上,本科,,https://jobs.51job.com/chengdu/170382073.html?s=sou_sou_soulb&t=0_0&req=bc845168-1e47-4b4d-8398-7c4ad446df19,javascript/spring cloud/java/c++/react/redis/linux/html/css/vue/swift,377
2856,51job,四川程飞极思信息技术有限公司,成都·锦江区,5000,10000,2年及以上,本科,,https://jobs.51job.com/chengdu-jjq/172873506.html?s=sou_sou_soulb&t=0_0&req=bc845168-1e47-4b4d-8398-7c4ad446df19,python/分布式/rabbitmq/spring cloud/高并发/mysql/java/redis/kafka/linux/spring boot/中台/restful/微服务,569
2859,51job,四川创企科技有限责任公司,成都,5000,9000,1-5年,本科,,https://jobs.51job.com/chengdu/171718480.html?s=sou_sou_soulb&t=0_0&req=51260efa-4c84-4537-8dde-96b108701c10,git/单元测试/小程序/mysql/mybatis/maven/java/linux/spring boot/restful/agent,570
2879,51job,成都柚子新境机械科技有限公司,成都,10000,15000,1-3年,本科,,https://jobs.51job.com/chengdu/172561488.html?s=sou_sou_soulb&t=0_0&req=ac2e5425-e3cd-4527-ba87-74415ea284f6,缓存/java/redis/接口开发/plc/modbus/spring boot/高并发/mysql,390
2884,51job,成都慧咣奏科技有限公司,成都·金牛区,7000,9000,1年,本科,,https://jobs.51job.com/chengdu-jnq/171264259.html?s=sou_sou_soulb&t=0_0&req=0ca562bb-9c1d-4a76-95c6-288e91cd1c01,git/mysql/maven/mybatis/java/redis/spring boot/restful,604
2895,51job,四川天正信息科技有限公司,成都·高新区,8000,10000,在校生/应届生,本科,,https://jobs.51job.com/chengdu-gxq/171957386.html?s=sou_sou_soulb&t=0_0&req=0ca562bb-9c1d-4a76-95c6-288e91cd1c01,oracle/mysql/单元测试/java,233
2899,51job,兴业数字金融服务（上海）股份有限公司,成都,15000,25000,在校生/应届生,本科,,https://jobs.51job.com/chengdu/158108330.html?s=sou_sou_soulb&t=0_0&req=0ca562bb-9c1d-4a76-95c6-288e91cd1c01,单元测试/spring cloud/java/spring boot/mysql,358
2971,51job,北京深辉机械科技有限公司,北京·海淀区,10000,20000,无需经验,本科,,https://jobs.51job.com/beijing-hdq/170899245.html?s=sou_sou_soulb&t=0_0&req=e5e00ef1-453f-4f43-86da-b54ad4ec60fe,java/mybatis/spring boot,249
3607,51job,南京绛门信息科技有限公司,深圳·南山区,8000,10000,1年及以上,本科,,https://jobs.51job.com/shenzhen-nsq/170351422.html?s=sou_sou_soulb&t=0_0&req=c4ab6b3e-ca3a-4c88-a7ad-e0c5fb4a42e8,nginx/spark/mysql/flink/mybatis/java/redis/spring boot/scala/hive,258
