技能,出现岗位数,出现率%,分类,来源平台,示例岗位ID
java,95,96.9,编程语言,51job/boss,730
spring boot,82,83.7,框架与开发,51job,203
mysql,72,73.5,数据存储与处理,51job,203
redis,60,61.2,数据存储与处理,51job,203
mybatis,56,57.1,框架与开发,51job,203
spring cloud,40,40.8,框架与开发,51job,203
微服务,37,37.8,架构设计,51job,205
分布式,31,31.6,架构设计,51job,205
linux,29,29.6,工程化与运维,51job,203
oracle,27,27.6,数据存储与处理,51job,204
git,24,24.5,工程化与运维,51job,203
单元测试,24,24.5,测试技术,51job,209
高并发,22,22.4,架构设计,51job,205
kafka,21,21.4,数据存储与处理,51job,205
nginx,21,21.4,工程化与运维,51job,203
docker,20,20.4,工程化与运维,51job,203
缓存,19,19.4,架构设计,51job,206
rabbitmq,17,17.3,数据存储与处理,51job,230
maven,15,15.3,工程化与运维,51job,203
消息队列,14,14.3,架构设计,51job,205
tomcat,13,13.3,工程化与运维,51job,203
javascript,11,11.2,编程语言,51job,203
css,10,10.2,前端技术,51job,203
vue,10,10.2,框架与开发,51job,203
html,9,9.2,前端技术,51job,203
dubbo,8,8.2,框架与开发,51job,206
hibernate,8,8.2,框架与开发,51job,203
jquery,8,8.2,框架与开发,51job,203
rocketmq,8,8.2,数据存储与处理,51job,206
sql优化,8,8.2,数据处理,51job,230
jenkins,7,7.1,工程化与运维,51job,203
restful,7,7.1,后端技术,51job,230
接口开发,7,7.1,后端技术,51job,203
gradle,6,6.1,工程化与运维,51job,513
mongodb,6,6.1,数据存储与处理,51job,205
python,6,6.1,编程语言,51job,205
spring,6,6.1,框架与开发,51job,204
elasticsearch,5,5.1,数据存储与处理,51job,206
ci/cd,4,4.1,工程化与运维,51job,391
gitlab,4,4.1,工程化与运维,51job,500
postgresql,4,4.1,数据存储与处理,51job,500
zookeeper,4,4.1,数据存储与处理,51job,206
负载均衡,4,4.1,架构设计,51job,250
agent,3,3.1,AI与算法,51job,205
c++,3,3.1,编程语言,51job,284
etl,3,3.1,数据处理,51job,205
sql server,3,3.1,数据存储与处理,51job,608
智能体,3,3.1,AI与算法,51job,205
clickhouse,2,2.0,数据存储与处理,51job,205
doris,2,2.0,数据存储与处理,51job,208
flink,2,2.0,数据存储与处理,51job,205
hadoop,2,2.0,数据存储与处理,51job,205
hive,2,2.0,数据存储与处理,51job,205
kubernetes,2,2.0,工程化与运维,51job,230
modbus,2,2.0,嵌入式/硬件,51job,287
plc,2,2.0,嵌入式/硬件,51job,287
postman,2,2.0,测试技术,51job,203
react,2,2.0,框架与开发,51job,232
scala,2,2.0,编程语言,51job,205
shell,2,2.0,编程语言,51job,617
spark,2,2.0,数据存储与处理,51job,205
uniapp,2,2.0,框架与开发,51job,500
中台,2,2.0,架构设计,51job,203
功能测试,2,2.0,测试技术,51job,230
降级,2,2.0,架构设计,51job,515
限流,2,2.0,架构设计,51job,611
