id,source_name,company,city,salary_min,salary_max,experience,education,publish_time,source_url,抽取技能,jd长度
1368,boss_zhipin,普润实业,深圳,8000,12000,1年以内,本科,,,postgresql/python/pandas/golang/docker/prompt/pytorch/tensorflow/numpy/scikit-learn,1063
1566,boss_zhipin,某大型互联网公司,深圳,35000,55000,1-3年,本科,,,python/go,547
1667,boss_zhipin,某大型移动互联网公司,杭州,30000,45000,经验不限,本科,,,机器学习/深度学习/nlp/分布式/mcp/langchain/spring/mybatis/ddd/java/高并发/rag/agent,769
1950,boss_zhipin,某大型互联网公司,深圳,35000,55000,1-3年,本科,,,python/go,547
1968,boss_zhipin,某大型移动互联网公司,杭州,30000,45000,经验不限,本科,,,机器学习/深度学习/nlp/分布式/mcp/langchain/spring/mybatis/ddd/java/高并发/rag/agent,769
2509,51job,上海杨浦区华智进修学校,上海·杨浦区,23000,30000,2-5年,本科,,https://jobs.51job.com/shanghai-ypq/172123858.html?s=sou_sou_soulb&t=0_0&req=25027219-b7c2-463a-b542-408ddefd52d8,python/大模型/微调/javascript/prompt/java/向量数据库/fine-tuning/dify/rag/智能体,466
2565,51job,恩士迅信息科技（中国）有限责任公司,上海,15000,25000,2年及以上,硕士,,https://jobs.51job.com/shanghai/171955938.html?s=sou_sou_soulb&t=0_0&req=791cf183-95cf-4308-a741-3e4d7bb4dd1e,提示词工程/mcp/langchain/pytorch/linux/shell/tensorflow/向量数据库/dify/深度学习/python/大模型/prompt/llm/rag/nlp/transformer/agent/微调,1420
2590,51job,帕科视讯科技（杭州）股份有限公司,杭州·滨江区,17000,23000,3年及以上,本科,,https://jobs.51job.com/hangzhou-bjq/172417548.html?s=sou_sou_soulb&t=0_0&req=553489c8-14fc-4595-8643-ef1187cd19c5,postgresql/spring cloud/langchain/java/linux/embedding/docker/向量数据库/dify/spring boot/vue/智能体/python/大模型/llm/ci/cd/rag/mysql/agent,975
2595,51job,迪安诊断技术集团股份有限公司,杭州·西湖区,25000,40000,4年及以上,本科,,https://jobs.51job.com/hangzhou-xhq/172616891.html?s=sou_sou_soulb&t=0_0&req=8e21a72b-15c0-44d1-9117-64f79a59bab2,分布式/spring cloud/mongodb/mybatis/java/spring boot/mysql,395
2597,51job,杭州杭测信息技术有限公司,杭州·拱墅区,8000,12000,2年及以上,本科,,https://jobs.51job.com/hangzhou-gsq/169730204.html?s=sou_sou_soulb&t=0_0&req=551aac1e-b1c3-4a02-9f79-7744876442d6,深度学习/python/spring cloud/java/spring boot/计算机视觉/机器学习/rag/agent,490
