技能,出现岗位数,出现率%,分类,来源平台,示例岗位ID
python,39,76.5,编程语言,51job/boss_zhipin,136
rag,32,62.7,AI与算法,51job/boss_zhipin,166
大模型,31,60.8,AI与算法,51job,250
agent,28,54.9,AI与算法,51job/boss_zhipin,166
langchain,19,37.3,AI与算法,51job/boss_zhipin,166
向量数据库,19,37.3,AI与算法,51job,250
深度学习,19,37.3,AI与算法,51job/boss_zhipin,166
机器学习,18,35.3,AI与算法,51job/boss_zhipin,166
微调,17,33.3,AI与算法,51job,250
智能体,16,31.4,AI与算法,51job,250
prompt,14,27.5,AI与算法,51job/boss_zhipin,136
llm,13,25.5,AI与算法,51job,256
java,12,23.5,编程语言,51job/boss_zhipin,166
dify,11,21.6,AI与算法,51job,250
pytorch,11,21.6,AI与算法,51job/boss_zhipin,136
tensorflow,11,21.6,AI与算法,51job/boss_zhipin,136
docker,10,19.6,工程化与运维,51job/boss_zhipin,136
postgresql,9,17.6,数据存储与处理,51job/boss_zhipin,136
fastapi,8,15.7,框架与开发,51job,519
mysql,8,15.7,数据存储与处理,51job,259
nlp,7,13.7,AI与算法,51job/boss_zhipin,166
react,7,13.7,框架与开发,51job,513
flask,6,11.8,框架与开发,51job,519
linux,6,11.8,工程化与运维,51job,256
mcp,6,11.8,AI与算法,51job/boss_zhipin,166
fine-tuning,5,9.8,AI与算法,51job,250
node.js,5,9.8,框架与开发,51job,307
spring boot,5,9.8,框架与开发,51job,259
接口开发,5,9.8,后端技术,51job,576
提示词工程,5,9.8,AI与算法,51job,256
计算机视觉,5,9.8,AI与算法,51job,259
embedding,4,7.8,AI与算法,51job,259
go,4,7.8,编程语言,51job/boss_zhipin,156
mongodb,4,7.8,数据存储与处理,51job,259
mybatis,4,7.8,框架与开发,51job/boss_zhipin,166
numpy,4,7.8,数据存储与处理,51job/boss_zhipin,136
pandas,4,7.8,数据存储与处理,51job/boss_zhipin,136
redis,4,7.8,数据存储与处理,51job,513
spring cloud,4,7.8,框架与开发,51job,259
vllm,4,7.8,AI与算法,51job,307
vue,4,7.8,框架与开发,51job,259
数据清洗,4,7.8,数据处理,51job,261
缓存,4,7.8,架构设计,51job,519
高并发,4,7.8,架构设计,51job/boss_zhipin,166
c#,3,5.9,编程语言,51job,100
django,3,5.9,框架与开发,51job,519
etl,3,5.9,数据处理,51job,367
scikit-learn,3,5.9,AI与算法,51job/boss_zhipin,136
中台,3,5.9,架构设计,51job,576
分布式,3,5.9,架构设计,51job/boss_zhipin,166
微服务,3,5.9,架构设计,51job,519
数据可视化,3,5.9,数据处理,51job,994
自然语言处理,3,5.9,AI与算法,51job,594
ci/cd,2,3.9,工程化与运维,51job,259
ddd,2,3.9,架构设计,boss_zhipin,166
elasticsearch,2,3.9,数据存储与处理,51job,513
javascript,2,3.9,编程语言,51job,250
ocr,2,3.9,AI与算法,51job,576
spring,2,3.9,框架与开发,boss_zhipin,166
transformer,2,3.9,AI与算法,51job,256
typescript,2,3.9,编程语言,51job,602
vite,2,3.9,工程化与运维,51job,584
单元测试,2,3.9,测试技术,51job,101
小程序,2,3.9,前端技术,51job,594
强化学习,2,3.9,AI与算法,51job,987
数据仓库,2,3.9,数据存储与处理,51job,367
消息队列,2,3.9,架构设计,51job,519
目标检测,2,3.9,AI与算法,51job,103
语音识别,2,3.9,AI与算法,51job,985
降级,2,3.9,架构设计,51job,602
限流,2,3.9,架构设计,51job,584
